id,start_timestamp,end_timestamp,start_long,start_lat,end_long,end_lat,distance
210,1601417701,1601417800,4.478212075,51.02900033,4.479311142,51.02900033,400
211,1601417826,1601418177,4.478266088,51.02932122,4.479744729,51.02932122,540
212,1601417880,1601417946,4.4779269,51.02917005,4.479766436,51.02917005,420
213,1601418096,1601418152,4.477988712,51.0291819,4.479296947,51.0291819,130
214,1601420556,1601424435,4.489295902,51.03058113,4.489403333,51.03058113,120
215,1601424448,1601425041,4.4825215,51.0182081,4.4860334,51.0182081,2040
216,1601431577,1601431813,4.483086644,51.01800725,4.486657621,51.01800725,790
217,1601441488,1601441801,4.47867472,51.02692221,4.4832954,51.02692221,2840
218,1601441495,1601441764,4.478569989,51.02678483,4.483110396,51.02678483,2100
219,1601448308,1601448687,4.4745422,51.0217297,4.4893777,51.0217297,3220
220,1601448535,1601448939,4.469566254,51.02693676,4.48280175,51.02693676,2580
221,1601449317,1601455908,4.485804898,51.0240011,4.458216667,51.0240011,10340
223,1601461485,1601461667,4.477594981,51.02912577,4.478680477,51.02912577,280
224,1601462063,1601462699,4.48477528,51.02574411,4.48477528,51.02574411,0
225,1601462180,1601462754,4.486339174,51.02622734,4.471377326,51.02622734,2610
226,1601462563,1601462901,4.479640614,51.02795538,4.469532315,51.02795538,1750
228,1601463036,1601463662,4.481798345,51.02335925,4.474733587,51.02335925,500
229,1601463217,1601463565,4.47128055,51.0331634,4.479971857,51.0331634,1750
230,1601463232,1601463564,4.47126433,51.0329101,4.47126433,51.0329101,0
231,1601465243,1601466033,4.4885706,51.0249111,4.4838391,51.0249111,1030
232,1601470191,1601470446,4.489376854,51.02959088,4.489520649,51.02959088,60
233,1601470348,1601470601,4.486630308,51.02466374,4.482200692,51.02466374,1610
235,1601473519,1601473663,4.4814249,51.0276788,4.4830804,51.0276788,790
236,1601475527,1601475678,4.4829818,51.0247894,4.4893014,51.0247894,1130
237,1601476306,1601476622,4.482270649,51.01790646,4.486525077,51.01790646,1650
238,1601480234,1601481121,4.48381017,51.0274738,4.48047786,51.0274738,1180
239,1601480488,1601480732,4.48027012,51.02824425,4.481155886,51.02824425,1340
240,1601480889,1601480989,4.480302268,51.02301277,4.477505046,51.02301277,650
241,1601481055,1601481309,4.486650403,51.02465983,4.482337293,51.02465983,1590
242,1601485156,1601486100,4.484792026,51.02918694,4.4837948,51.02918694,800
243,1601485660,1601486257,4.489401439,51.02951085,4.4994493,51.02951085,1570
244,1601486417,1601487752,4.458515152,51.05557242,4.485216698,51.05557242,7810
245,1601488261,1601491373,4.4786589,51.026903,4.4787589,51.026903,1700
246,1601490175,1601490422,4.479818522,51.02795883,4.473925257,51.02795883,980
247,1601490236,1601490408,4.479927467,51.02800104,4.47402501,51.02800104,990
248,1601491038,1601491223,4.473892042,51.03036656,4.478499655,51.03036656,1130
249,1601491054,1601491274,4.473941174,51.030302,4.478467805,51.030302,1120
250,1601492758,1601492771,4.4749898,51.0185831,4.4751541,51.0185831,1200
251,1601491930,1601492549,4.483818132,51.02757405,4.4837801,51.02757405,1280
252,1601492304,1601492311,4.476926569,51.02865056,4.476907936,51.02865056,0
253,1601494190,1601495046,4.478626135,51.02698087,4.48423491,51.02698087,2690
254,1601495290,1601495849,4.484072925,51.02882316,4.484203704,51.02882316,1220
255,1601499227,1601499623,4.480384797,51.02808662,4.482944261,51.02808662,2220
256,1601502485,1601502708,4.482735941,51.01764921,4.473683657,51.01764921,1920
257,1601515878,1601516051,4.482377645,51.01803909,4.486632598,51.01803909,800
258,1601523421,1601523604,4.483891809,51.02768851,4.483891809,51.02768851,440
259,1601540088,1601540745,4.476455534,51.02484523,4.478743973,51.02484523,1090
261,1601543831,1601544188,4.483313602,51.01809749,4.471362501,51.01809749,2290
262,1601548212,1601548384,4.485435283,51.02918279,4.488302707,51.02918279,520
263,1601551784,1601552603,4.473749435,51.02395817,4.49333036,51.02395817,1700
265,1601558169,1601558635,4.485702874,51.02904412,4.4808277,51.02904412,2950
266,1601560878,1601561114,4.4888386,51.0252721,4.4837437,51.0252721,870
267,1601561305,1601561702,4.482346571,51.02840977,4.470379674,51.02840977,2470
268,1601561721,1601562403,4.483167728,51.01829693,4.48764904,51.01829693,4600
269,1601562671,1601563003,4.478828875,51.02957142,4.483166382,51.02957142,2680
270,1601562967,1601563605,4.483105534,51.01816036,4.464040737,51.01816036,4140
271,1601563425,1601564661,4.493515992,51.03306408,4.47340486,51.03306408,4160
272,1601563573,1601563859,4.478826541,51.02679223,4.472159659,51.02679223,2090
273,1601564890,1601564998,4.487538073,51.03738141,4.483772413,51.03738141,640
274,1601566088,1601566491,4.470493973,51.02874153,4.484739645,51.02874153,2580
275,1601566963,1601567257,4.483756902,51.03847844,4.479939251,51.03847844,2560
276,1601567215,1601567567,4.486655418,51.02473526,4.482139896,51.02473526,1900
277,1601570840,1601571677,4.480330075,51.02815714,4.480419905,51.02815714,2240
278,1601572374,1601572818,4.4829542,51.0178619,4.4908671,51.0178619,1450
279,1601577324,1601578133,4.48938467,51.02954317,4.4710251,51.02954317,5240
280,1601577861,1601578361,4.463890785,51.01282711,4.481966619,51.01282711,2750
281,1601580325,1601580870,4.471123404,51.03333031,4.488487076,51.03333031,3110
282,1601580557,1601582540,4.4709919,51.03330054,4.4725105,51.03330054,1730
283,1601582734,1601582853,4.482254407,51.02836824,4.485188268,51.02836824,460
284,1601582949,1601583268,4.485305761,51.02894441,4.499786357,51.02894441,1040
285,1601585216,1601585526,4.480293212,51.02831651,4.480293212,51.02831651,0
286,1601586352,1601586484,4.48844761,51.02468671,4.483187954,51.02468671,880
287,1601587785,1601587988,4.48295027,51.03145567,4.487022199,51.03145567,710
288,1601589379,1601590230,4.483434639,51.02241096,4.470803048,51.02241096,4880
289,1601596374,1601621017,4.482496048,51.01807265,4.486635,51.01807265,1770
290,1601619378,1601619734,4.48349965,51.0179873,4.479131355,51.0179873,2640
291,1601620962,1601621357,4.488392382,51.02472254,4.481505792,51.02472254,1720
292,1601621116,1601621307,4.480533147,51.01850286,4.475987471,51.01850286,1660
293,1601621843,1601622132,4.480722612,51.02774131,4.4842603,51.02774131,1120
294,1601622735,1601622855,4.484336553,51.02814415,4.4803215,51.02814415,710
295,1601628486,1601628714,4.48662649,51.02471058,4.482124156,51.02471058,1870
